"id","country_id:id","name","code"
base.state_cn_BJ,base.cn,"Beijing","京"
base.state_cn_SH,base.cn,"Shanghai","沪"
base.state_cn_ZJ,base.cn,"Zhejiang","浙"
base.state_cn_TJ,base.cn,"Tianjin","津"
base.state_cn_AH,base.cn,"Anhui","皖"
base.state_cn_FJ,base.cn,"Fujian","闽"
base.state_cn_CQ,base.cn,"Chongqing","渝"
base.state_cn_JX,base.cn,"Jiangxi","赣"
base.state_cn_SD,base.cn,"Shandong","鲁"
base.state_cn_HA,base.cn,"Henan","豫"
base.state_cn_NM,base.cn,"Mongolia","蒙"
base.state_cn_HB,base.cn,"Hubei","鄂"
base.state_cn_XJ,base.cn,"Xinjiang","新"
base.state_cn_HN,base.cn,"Hunan","湘"
base.state_cn_NX,base.cn,"Ningxia","宁"
base.state_cn_GD,base.cn,"Guangdong","粤"
base.state_cn_XZ,base.cn,"Tibet","藏"
base.state_cn_HI,base.cn,"Hainan","琼"
base.state_cn_GX,base.cn,"Guangxi","桂"
base.state_cn_SC,base.cn,"Sichuan","蜀"
base.state_cn_HE,base.cn,"Hebei","冀"
base.state_cn_GZ,base.cn,"Guizhou","黔"
base.state_cn_SX,base.cn,"Shanxi","晋"
base.state_cn_YN,base.cn,"Yunnan","滇"
base.state_cn_LN,base.cn,"Liaoning","辽"
base.state_cn_SN,base.cn,"Shaanxi","陕"
base.state_cn_JL,base.cn,"Jilin","吉"
base.state_cn_GS,base.cn,"Gansu","甘"
base.state_cn_HL,base.cn,"Heilongjiang","黑"
base.state_cn_QH,base.cn,"Qinghai","青"
base.state_cn_JS,base.cn,"Jiangsu","苏"
base.state_cn_TW,base.cn,"Taiwan","台"
base.state_cn_HK,base.cn,"Hong Kong","港"
base.state_cn_MO,base.cn,"Macao","澳"