id,name,parent_id/id
product.product_category_raw_material,原料,
product.product_category_rm_plastic,塑膠,product.product_category_raw_material
product.product_category_rm_metal,金屬,product.product_category_raw_material
product.product_category_finished_product,成品,
product.product_category_fp_wire,線材,product.product_category_finished_product
product.product_category_fp_w_network,網路線,product.product_category_fp_wire
product.product_category_fp_w_electronic,電子線,product.product_category_fp_wire
product.product_category_fp_w_power,電源線,product.product_category_fp_wire
product.product_category_fp_w_cable,電纜線,product.product_category_fp_wire
product.product_category_fp_w_coaxial,同軸線,product.product_category_fp_wire
product.product_category_fp_w_ribbon,排線,product.product_category_fp_wire
product.product_category_fp_metal,五金,product.product_category_finished_product
product.product_category_fp_plastic,塑膠,product.product_category_finished_product
product.product_category_fp_pcb,PCB,product.product_category_finished_product
product.product_category_fp_assembly,組裝,product.product_category_finished_product
product.product_category_fp_other,其他,product.product_category_finished_product
product.product_category_unfinished_part,零件,
product.product_category_up_wire,線材,product.product_category_unfinished_part
product.product_category_up_w_network,網路線,product.product_category_up_wire
product.product_category_up_w_electronic,電子線,product.product_category_up_wire
product.product_category_up_w_power,電源線,product.product_category_up_wire
product.product_category_up_w_cable,電纜線,product.product_category_up_wire
product.product_category_up_w_coaxial,同軸線,product.product_category_up_wire
product.product_category_up_w_ribbon,排線,product.product_category_up_wire
product.product_category_up_metal,五金,product.product_category_unfinished_part
product.product_category_up_plastic,塑膠,product.product_category_unfinished_part
product.product_category_up_pcb,PCB,product.product_category_unfinished_part
product.product_category_up_electronic,電子,product.product_category_unfinished_part
product.product_category_up_eltnc_resistor,電阻,product.product_category_up_electronic
product.product_category_up_eltnc_capacitor,電容,product.product_category_up_electronic
product.product_category_up_connector,接頭,product.product_category_unfinished_part
product.product_category_up_cntr_coaxial,同軸接頭,product.product_category_up_connector
product.product_category_up_housing,Housing,product.product_category_unfinished_part
product.product_category_up_terminal,Terminal,product.product_category_unfinished_part
product.product_category_up_fan,風扇,product.product_category_unfinished_part
product.product_category_up_core,鐵粉芯,product.product_category_unfinished_part
product.product_category_up_tie,束帶,product.product_category_unfinished_part
product.product_category_up_accessory,配件,product.product_category_unfinished_part
product.product_category_packing,包材,
product.product_category_pk_zx,紙箱,product.product_category_packing
product.product_category_pk_ped,PE袋,product.product_category_packing
product.product_category_pk_zb,紙板,product.product_category_packing
product.product_category_pk_zzm,珍珠棉,product.product_category_packing
product.product_category_pk_qpd,氣泡袋,product.product_category_packing
product.product_category_pk_myt,迷你帶,product.product_category_packing
product.product_category_pk_label,標籤,product.product_category_packing
product.product_category_side_material,輔料,
product.product_category_sm_solvent,溶劑,product.product_category_side_material
product.product_category_sm_glue,膠水,product.product_category_side_material
product.product_category_sm_tin,錫,product.product_category_side_material
product.product_category_sm_ink,油墨,product.product_category_side_material
product.product_category_sm_tube,套管,product.product_category_side_material
product.product_category_misc,雜項,
product.product_category_misc_stationery,文具,product.product_category_misc
product.product_category_misc_tool,工具,product.product_category_misc
product.product_category_tooling,模製具,
product.product_category_tool_plastic,塑膠模,product.product_category_tooling
product.product_category_tool_metal,五金模,product.product_category_tooling
product.product_category_machine,機器,
product.product_category_equipment,測量設備,